0	1
0.125664	1
0.251327	1
0.376991	0.999999
0.502655	1
0.628319	1
0.753982	1
0.879646	1
1.00531	1
1.13097	1
1.25664	1
1.3823	0.999999
1.50796	1
1.63363	1
1.75929	0.999999
1.88496	1
2.01062	1
2.13628	1
2.26195	1
2.38761	1
2.51327	1
2.63894	1
2.7646	0.999999
2.89027	1
3.01593	1
3.14159	1
3.26726	1
3.39292	1
3.51858	0.999999
3.64425	1
3.76991	1
3.89557	1
4.02124	1
4.1469	1
4.27257	1
4.39823	1
4.52389	0.999999
4.64956	1
4.77522	1
4.90088	0.999999
5.02655	1
5.15221	1
5.27788	1
5.40354	1
5.5292	1
5.65487	1
5.78053	1
5.90619	0.999999
6.03186	1
6.15752	1
6.15752	1
