0	0
0.125664	0.125333
0.251327	0.24869
0.376991	0.368125
0.502655	0.481754
0.628319	0.587785
0.753982	0.684547
0.879646	0.770513
1.00531	0.844328
1.13097	0.904827
1.25664	0.951057
1.3823	0.982287
1.50796	0.998027
1.63363	0.998027
1.75929	0.982287
1.88496	0.951057
2.01062	0.904827
2.13628	0.844328
2.26195	0.770513
2.38761	0.684547
2.51327	0.587785
2.63894	0.481754
2.7646	0.368125
2.89027	0.24869
3.01593	0.125333
3.14159	-3.21625e-16
3.26726	-0.125333
3.39292	-0.24869
3.51858	-0.368125
3.64425	-0.481754
3.76991	-0.587785
3.89557	-0.684547
4.02124	-0.770513
4.1469	-0.844328
4.27257	-0.904827
4.39823	-0.951057
4.52389	-0.982287
4.64956	-0.998027
4.77522	-0.998027
4.90088	-0.982287
5.02655	-0.951057
5.15221	-0.904827
5.27788	-0.844328
5.40354	-0.770513
5.5292	-0.684547
5.65487	-0.587785
5.78053	-0.481754
5.90619	-0.368125
6.03186	-0.24869
6.15752	-0.125333
