0	1
0.125664	0.992115
0.251327	0.968583
0.376991	0.929776
0.502655	0.876307
0.628319	0.809017
0.753982	0.728969
0.879646	0.637424
1.00531	0.535827
1.13097	0.425779
1.25664	0.309017
1.3823	0.187381
1.50796	0.0627905
1.63363	-0.0627905
1.75929	-0.187381
1.88496	-0.309017
2.01062	-0.425779
2.13628	-0.535827
2.26195	-0.637424
2.38761	-0.728969
2.51327	-0.809017
2.63894	-0.876307
2.7646	-0.929776
2.89027	-0.968583
3.01593	-0.992115
3.14159	-1
3.26726	-0.992115
3.39292	-0.968583
3.51858	-0.929776
3.64425	-0.876307
3.76991	-0.809017
3.89557	-0.728969
4.02124	-0.637424
4.1469	-0.535827
4.27257	-0.425779
4.39823	-0.309017
4.52389	-0.187381
4.64956	-0.0627905
4.77522	0.0627905
4.90088	0.187381
5.02655	0.309017
5.15221	0.425779
5.27788	0.535827
5.40354	0.637424
5.5292	0.728969
5.65487	0.809017
5.78053	0.876307
5.90619	0.929776
6.03186	0.968583
6.15752	0.992115
